* Denotes afternoon catch,,,,,,,,,
Date Range: 1 January to 31 December 2017,,,,,,,,,
"Locations: Gold Coast, Nth Stradbroke Island, Sunshine Coast, Rainbow Beach, Woongarra Coast (Bundaberg), Tannum Sands, Capricorn Coast, Mackay, Townsville and Cairns",,,,,,,,,
,,,,,,,,,
Species Name,Species Code,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Number Caught
PIGEYE WHALER,37018026,6/04/2017,Bundaberg,Kellys Beach,-24.81967477,152.4720265,1.63,23,1
TIGER SHARK,37018022,6/04/2017,Gold Coast,North Burleigh,-28.06788856,153.452737,2.54,22.7,1
BULL WHALER,37018021,8/04/2017,Bribie Island,Woorim (Bribie Island),-27.06835189,153.2113376,1.55,21,1
GRACEFUL WHALER,37018033,8/04/2017,Townsville,Horseshoe Bay,-19.10445,146.85945,0.9,27.5,1
LONG NOSE WHALER *,37018023,8/04/2017,Sunshine Coast North,Maroochydore,-26.65862753,153.1110229,1.2,24,1
TAWNY SHARK,37013010,8/04/2017,Townsville,Picnic Bay,-19.18248333,146.8437833,2.6,27.5,1
TIGER SHARK,37018022,8/04/2017,Townsville,Alma Bay,-19.15188333,146.8744,1,27.5,1
DUSKY WHALER,37018003,9/04/2017,Nth Stradbroke Is.,Cylinder Beach,-27.41967685,153.5313913,1,22.5,1
SANDBAR WHALER,37018007,9/04/2017,Bundaberg,Neilson Park,-24.82228506,152.4723612,1.43,22,1
SCALLOPED HAMMERHEAD,37019001,10/04/2017,Gold Coast,Kirra Beach,-28.15840863,153.5334548,1.7,23,1
DUSKY WHALER,37018003,11/04/2017,Sunshine Coast South,Caloundra Beach,-26.80904845,153.1458368,2.01,22.7,1
LONG NOSE WHALER,37018023,11/04/2017,Sunshine Coast South,Wurtulla Beach,-26.74793981,153.141761,1.05,24,1
TIGER SHARK,37018022,11/04/2017,Townsville,Radical Bay,-19.10796667,146.8759,1.05,28,1
SANDBAR WHALER,37018007,12/04/2017,Bundaberg,Neilson Park,-24.80097378,152.461938,1.77,22,1
SANDBAR WHALER,37018007,12/04/2017,Bundaberg,Kellys Beach,-24.82236276,152.4711823,1.62,22,1
SANDBAR WHALER,37018007,12/04/2017,Bundaberg,Kellys Beach,-24.81710664,152.4719566,1.57,22,1
TAWNY SHARK,37013010,13/04/2017,Townsville,Alma Bay,-19.15188333,146.8744,2.1,28,1
PIGEYE WHALER,37018026,14/04/2017,Townsville,Horseshoe Bay,-19.10221667,146.85995,1.1,27.5,1
TIGER SHARK,37018022,14/04/2017,Townsville,Horseshoe Bay,-19.103,146.8597667,1.06,27.5,1
SCALLOPED HAMMERHEAD,37019001,15/04/2017,Townsville,Florence Bay,-19.12505,146.8852,1.7,27,1
SHARPTOOTH SHARK,37018029,15/04/2017,Cairns,Clifton,-16.75815614,145.6816812,2.15,26,1
TIGER SHARK,37018022,15/04/2017,Townsville,Radical Bay,-19.10826667,146.8765667,1.06,27,1
